#Params

DP.StartlistCount = 112
DP.ITCount = 0
DP.RaceCount = 10

#Event Properties

EP.Name = C 2007 470 M
EP.ScoringSystem = Low Point System
EP.Throwouts = 1
EP.DivisionName = 470M
EP.InputMode = Strict
EP.RaceLayout = Finish
EP.NameSchema = NX
EP.FieldMap = SN
EP.FieldCaptions = FN1,LN1,Sail,Sail-ID,FN2,LN2
EP.FieldCount = 6
EP.NameFieldCount = 0
EP.NameFieldOrder = 
EP.ColorMode = Fleet
EP.UseFleets = True
EP.TargetFleetSize = 38
EP.FirstFinalRace = 6
EP.IsTimed = False
EP.UseCompactFormat = True

NameList.Begin
NameList.End

StartList.Begin
Pos;SNR;Bib
1;1000;1
2;1001;2
3;1002;3
4;1003;4
5;1004;5
6;1005;6
7;1006;7
8;1007;8
9;1008;9
10;1009;10
11;1010;11
12;1011;12
13;1012;13
14;1013;14
15;1014;15
16;1015;16
17;1016;17
18;1017;18
19;1018;19
20;1019;20
21;1020;21
22;1021;22
23;1022;23
24;1023;24
25;1024;25
26;1025;26
27;1026;27
28;1027;28
29;1028;29
30;1029;30
31;1030;31
32;1031;32
33;1032;33
34;1033;34
35;1034;35
36;1035;36
37;1036;37
38;1037;38
39;1038;39
40;1039;40
41;1040;41
42;1041;42
43;1042;43
44;1043;44
45;1044;45
46;1045;46
47;1046;47
48;1047;48
49;1048;49
50;1049;50
51;1050;51
52;1051;52
53;1052;53
54;1053;54
55;1054;55
56;1055;56
57;1056;57
58;1057;58
59;1058;59
60;1059;60
61;1060;61
62;1061;62
63;1062;63
64;1063;64
65;1064;65
66;1065;66
67;1066;67
68;1067;68
69;1068;69
70;1069;70
71;1070;71
72;1071;72
73;1072;73
74;1073;74
75;1074;75
76;1075;76
77;1076;77
78;1077;78
79;1078;79
80;1079;80
81;1080;81
82;1081;82
83;1082;83
84;1083;84
85;1084;85
86;1085;86
87;1086;87
88;1087;88
89;1088;89
90;1089;90
91;1090;91
92;1091;92
93;1092;93
94;1093;94
95;1094;95
96;1095;96
97;1096;97
98;1097;98
99;1098;99
100;1099;100
101;1100;101
102;1101;102
103;1102;103
104;1103;104
105;1104;105
106;1105;106
107;1106;107
108;1107;108
109;1108;109
110;1109;110
111;1110;111
112;1111;112
StartList.End

FleetList.Begin
SNR;Bib;R1;R2;R3;R4;R5;R6;R7;R8;R9;R10
1000;1;3;1;3;2;3;1;1;1;1;0
1001;2;3;2;2;3;2;1;1;1;1;0
1002;3;2;2;2;1;1;1;1;1;1;0
1003;4;2;1;3;2;2;1;1;1;1;0
1004;5;3;2;2;3;2;1;1;1;1;1
1005;6;3;2;3;2;1;1;1;1;1;1
1006;7;3;1;2;3;3;1;1;1;1;0
1007;8;1;3;3;2;2;1;1;1;1;1
1008;9;3;1;2;1;3;1;1;1;1;0
1009;10;1;1;3;3;3;1;1;1;1;1
1010;11;1;3;1;3;2;1;1;1;1;1
1011;12;2;2;1;1;3;1;1;1;1;1
1012;13;3;2;3;1;1;1;1;1;1;1
1013;14;1;2;1;3;1;1;1;1;1;1
1014;15;2;3;1;3;2;1;1;1;1;0
1015;16;1;3;2;1;1;1;1;1;1;1
1016;17;1;3;2;3;2;1;1;1;1;0
1017;18;1;2;3;2;2;1;1;1;1;1
1018;19;1;3;1;2;3;1;1;1;1;0
1019;20;1;2;3;2;1;1;1;1;1;1
