#Params

DP.StartlistCount = 107
DP.ITCount = 0
DP.RaceCount = 9

#Event Properties

EP.Name = C 2007 Laser Radial
EP.ScoringSystem = Low Point System
EP.Throwouts = 1
EP.DivisionName = LR
EP.InputMode = Strict
EP.RaceLayout = Finish
EP.NameSchema = NX
EP.FieldMap = SN
EP.FieldCaptions = FN,LN,NOC
EP.FieldCount = 3
EP.NameFieldCount = 0
EP.NameFieldOrder = 
EP.ColorMode = Fleet
EP.UseFleets = True
EP.TargetFleetSize = 54
EP.FirstFinalRace = 7
EP.IsTimed = False
EP.UseCompactFormat = True

NameList.Begin
NameList.End

StartList.Begin
Pos;SNR;Bib
1;191176;1
2;191160;2
3;191154;3
4;191161;4
5;191151;5
6;191153;6
7;191220;7
8;191159;8
9;191186;9
10;191162;10
11;191163;11
12;191157;12
13;191152;13
14;191222;14
15;191164;15
16;191155;16
17;191167;17
18;191181;18
19;191209;19
20;191230;20
21;191169;21
22;191202;22
23;191236;23
24;191246;24
25;191165;25
26;191231;26
27;191168;27
28;191223;28
29;191204;29
30;191156;30
31;191182;31
32;191203;32
33;191180;33
34;191171;34
35;191199;35
36;191255;36
37;191197;37
38;191177;38
39;191212;39
40;191170;40
41;191189;41
42;191166;42
43;191211;43
44;191240;44
45;191184;45
46;191183;46
47;191193;47
48;191247;48
49;191210;49
50;191190;50
51;191252;51
52;191243;52
53;191235;53
54;191216;54
55;191158;55
56;191218;56
57;191187;57
58;191196;58
59;191198;59
60;191234;60
61;191251;61
62;191217;62
63;191219;63
64;191256;64
65;191245;65
66;191248;66
67;191208;67
68;191173;68
69;191174;69
70;191257;70
71;191207;71
72;191233;72
73;191254;73
74;191260;74
75;191192;75
76;191259;76
77;191242;77
78;191185;78
79;191205;79
80;191201;80
81;191258;81
82;191225;82
83;191253;83
84;191239;84
85;191206;85
86;191188;86
87;191194;87
88;191249;88
89;191237;89
90;191195;90
91;191224;91
92;191226;92
93;191241;93
94;191228;94
95;191229;95
96;191215;96
97;191244;97
98;191227;98
99;191172;99
100;191191;100
101;191221;101
102;191213;102
103;191200;103
104;191214;104
105;191178;105
106;191250;106
107;191179;107
StartList.End

FleetList.Begin
SNR;Bib;R1;R2;R3;R4;R5;R6;R7;R8;R9
191176;1;1;1;1;1;1;1;1;1;0
191160;2;2;1;1;2;2;2;1;1;0
191154;3;2;2;1;1;2;1;1;1;0
191161;4;2;2;2;2;2;2;1;1;0
191151;5;2;2;2;2;2;2;1;1;0
191153;6;2;2;2;2;1;2;1;1;0
191220;7;2;1;1;1;2;2;1;1;0
191159;8;2;2;2;2;2;1;1;1;0
191186;9;1;1;1;1;1;1;1;1;0
191162;10;2;2;2;2;1;2;1;1;0
191163;11;2;2;2;2;2;2;1;1;1
191157;12;2;2;2;2;2;1;1;1;1
191152;13;1;1;1;1;1;1;1;1;1
191222;14;1;1;1;2;2;2;1;1;1
191164;15;2;2;2;2;2;1;1;1;1
191155;16;1;1;1;1;1;1;1;1;1
191167;17;2;2;2;1;1;1;1;1;1
191181;18;2;2;2;2;1;1;1;1;1
191209;19;1;1;1;1;1;2;1;1;1
191230;20;1;1;1;1;1;1;1;1;1
191169;21;2;2;2;1;2;2;1;1;1
191202;22;2;2;1;2;1;2;1;1;1
191236;23;1;1;1;2;2;2;1;1;1
191246;24;1;1;1;1;2;2;1;1;1
191165;25;2;1;1;2;2;2;1;1;1
191231;26;2;2;2;2;2;2;1;1;1
