#Params

DP.StartlistCount = 35
DP.ITCount = 0
DP.RaceCount = 9

#Event Properties

EP.Name = C 2007 Yngling
EP.ScoringSystem = Low Point System
EP.Throwouts = 1
EP.DivisionName = Yngling
EP.InputMode = Strict
EP.RaceLayout = Finish
EP.NameSchema = NX
EP.FieldMap = SN
EP.FieldCaptions = N1,N2,N3,NOC
EP.FieldCount = 7
EP.NameFieldCount = 0
EP.NameFieldOrder = 
EP.ColorMode = Fleet
EP.UseFleets = True
EP.TargetFleetSize = 35
EP.FirstFinalRace = 9
EP.IsTimed = False
EP.UseCompactFormat = True

NameList.Begin
NameList.End

StartList.Begin
Pos;SNR;Bib
1;1000;1
2;1001;2
3;1002;3
4;1003;4
5;1004;5
6;1005;6
7;1006;7
8;1007;8
9;1008;9
10;1009;10
11;1010;11
12;1011;12
13;1012;13
14;1013;14
15;1014;15
16;1015;16
17;1016;17
18;1017;18
19;1018;19
20;1019;20
21;1020;21
22;1021;22
23;1022;23
24;1023;24
25;1024;25
26;1025;26
27;1026;27
28;1027;28
29;1028;29
30;1029;30
31;1030;31
32;1031;32
33;1032;33
34;1033;34
35;1034;35
StartList.End

FleetList.Begin
SNR;Bib;R1;R2;R3;R4;R5;R6;R7;R8;R9
1000;1;1;1;1;1;1;1;1;1;0
1001;2;1;1;1;1;1;1;1;1;1
1002;3;1;1;1;1;1;1;1;1;1
1003;4;1;1;1;1;1;1;1;1;1
1004;5;1;1;1;1;1;1;1;1;1
1005;6;1;1;1;1;1;1;1;1;1
1006;7;1;1;1;1;1;1;1;1;1
1007;8;1;1;1;1;1;1;1;1;1
1008;9;1;1;1;1;1;1;1;1;0
1009;10;1;1;1;1;1;1;1;1;1
1010;11;1;1;1;1;1;1;1;1;1
1011;12;1;1;1;1;1;1;1;1;1
1012;13;1;1;1;1;1;1;1;1;1
1013;14;1;1;1;1;1;1;1;1;0
1014;15;1;1;1;1;1;1;1;1;0
1015;16;1;1;1;1;1;1;1;1;0
1016;17;1;1;1;1;1;1;1;1;1
1017;18;1;1;1;1;1;1;1;1;0
1018;19;1;1;1;1;1;1;1;1;1
1019;20;1;1;1;1;1;1;1;1;1
1020;21;1;1;1;1;1;1;1;1;1
1021;22;1;1;1;1;1;1;1;1;0
1022;23;1;1;1;1;1;1;1;1;1
1023;24;1;1;1;1;1;1;1;1;1
1024;25;1;1;1;1;1;1;1;1;1
1025;26;1;1;1;1;1;1;1;1;1
1026;27;1;1;1;1;1;1;1;1;0
1027;28;1;1;1;1;1;1;1;1;1
1028;29;1;1;1;1;1;1;1;1;1
1029;30;1;1;1;1;1;1;1;1;1
1030;31;1;1;1;1;1;1;1;1;0
1031;32;1;1;1;1;1;1;1;1;1
1032;33;1;1;1;1;1;1;1;1;1
1033;34;1;1;1;1;1;1;1;1;1
1034;35;1;1;1;1;1;1;1;1;0
FleetList.End

FinishList.Begin
SNR;Bib;R1;R2;R3;R4;R5;R6;R7;R8;R9
1000;1;3;22;17;15;4;18;12;12;10
1001;2;0;0;29;24;20;26;27;30;13
1002;3;27;27;0;16;21;32;26;16;11
1003;4;30;31;0;0;25;34;30;31;19
1004;5;25;7;24;4;30;30;22;26;16
1005;6;26;32;30;13;13;16;17;0;15
1006;7;0;0;18;30;16;11;23;25;9
1007;8;28;0;31;18;24;22;33;32;17
1008;9;12;20;25;5;15;4;1;6;5
1009;10;19;21;20;19;0;25;19;18;14
1010;11;24;15;10;20;7;14;6;23;2
1011;12;16;30;0;8;0;0;0;0;0
1012;13;17;6;6;0;14;21;25;20;20
1013;14;2;3;4;2;3;13;11;4;6
1014;15;1;2;3;9;10;20;2;3;9
1015;16;21;9;16;23;2;27;13;2;4
1016;17;0;8;13;12;12;9;29;24;4
1017;18;10;19;2;6;5;15;28;13;3
1018;19;0;28;7;0;6;8;4;22;3
1019;20;29;24;5;0;22;24;20;9;22
1020;21;15;29;21;27;29;17;24;21;21
1021;22;5;11;8;22;1;2;8;1;8
1022;23;11;12;9;10;27;23;18;11;5
1023;24;13;10;11;25;0;10;0;19;6
1024;25;22;25;26;11;17;33;21;10;7
1025;26;20;16;23;26;8;31;14;15;10
1026;27;7;1;14;14;28;1;7;5;7
1027;28;4;23;19;28;9;5;10;0;1
1028;29;9;17;0;7;11;6;16;7;12
1029;30;14;14;12;0;0;7;5;29;0
1030;31;6;4;15;3;26;3;15;14;1
1031;32;23;13;22;21;18;28;32;28;18
1032;33;31;18;27;17;19;29;31;17;8
1033;34;18;26;28;29;23;19;9;27;23
1034;35;8;5;1;1;0;12;3;8;2
FinishList.End

CompareList.Begin
014=04100
035=04200
015=04800
022=05200
031=06200
027=06300
009=07300
018=07600
016=09400
011=09700
028=09900
023=09900
001=10100
029=10400
017=11100
019=11400
013=12900
024=13000
026=13200
025=13900
030=14300
005=15400
020=15500
010=15500
006=16200
033=16600
007=16800
032=17100
034=17300
021=17500
003=17600
002=20500
008=20500
012=22400
004=23600
CompareList.End

#W1

FR.*.W1.Bib2.QU=DNF
FR.*.W1.Bib7.QU=DNF
FR.*.W1.Bib17.QU=DNF
FR.*.W1.Bib19.QU=DNF

#W2

FR.*.W2.Bib2.QU=DNF
FR.*.W2.Bib7.QU=DNF
FR.*.W2.Bib8.QU=DNF

#W3

FR.*.W3.Bib3.QU=DSQ
FR.*.W3.Bib4.QU=BFD
FR.*.W3.Bib12.QU=BFD
FR.*.W3.Bib29.QU=DNE

#W4

FR.*.W4.Bib4.QU=BFD
FR.*.W4.Bib13.QU=BFD
FR.*.W4.Bib19.QU=DSQ
FR.*.W4.Bib20.QU=DSQ
FR.*.W4.Bib30.QU=DNF

#W5

FR.*.W5.Bib10.QU=DSQ
FR.*.W5.Bib12.QU=DNF
FR.*.W5.Bib24.QU=DNF
FR.*.W5.Bib30.QU=DNF
FR.*.W5.Bib35.QU=DNF

#W6

FR.*.W6.Bib12.QU=DNF

#W7

FR.*.W7.Bib12.QU=DNC
FR.*.W7.Bib24.QU=DSQ

#W8

FR.*.W8.Bib6.QU=DSQ
FR.*.W8.Bib12.QU=DNC
FR.*.W8.Bib28.QU=DSQ

#W9

FR.*.W9.Bib12.QU=DNC
FR.*.W9.Bib30.QU=DNF

EP.IM = Strict
